id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
16S_rRNA::Eggerthella-lenta-DSM-2243_Node_0:749851-751357(+)_V3_V4_366_692_includelonghmm	74	3	327	1	100	100%
16S_rRNA::Eggerthella-lenta-DSM-2243_Node_0:2419642-2421148(-)_V3_V4_366_692_includelonghmm	74	3	327	0	100.00%	100%
16S_rRNA::Eggerthella-lenta-DSM-2243_Node_0:3272232-3273738(-)_V3_V4_366_692_includelonghmm	74	3	327	0	100.00%	100%
16S_rRNA::Eubacterium-eligens-ATCC-27750_Node_0:15555-17084(+)_V3_V4_386_712_includelonghmm	75	5	327	1	100	100%
16S_rRNA::Eubacterium-eligens-ATCC-27750_Node_0:2029857-2031386(-)_V3_V4_386_712_includelonghmm	75	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-eligens-ATCC-27750_Node_0:697429-698958(+)_V3_V4_386_712_includelonghmm	75	5	327	0	99.69%	100%
16S_rRNA::Eubacterium-eligens-ATCC-27750_Node_0:872236-873765(+)_V3_V4_386_712_includelonghmm	75	5	327	0	99.69%	100%
16S_rRNA::Eubacterium-eligens-ATCC-27750_Node_0:413147-414677(+)_V3_V4_386_712_includelonghmm	75	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-hallii-DSM-3353_Node_59:5-1429(+)_V3_V4_278_604_includelonghmm	76	1	327	1	100	100%
16S_rRNA::Eubacterium-rectale-ATCC-33656_Node_0:10910-12439(+)_V3_V4_384_710_includelonghmm	77	5	327	1	100	100%
16S_rRNA::Eubacterium-rectale-ATCC-33656_Node_0:1425073-1426602(+)_V3_V4_384_710_includelonghmm	77	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-rectale-ATCC-33656_Node_0:2162765-2164294(-)_V3_V4_384_710_includelonghmm	77	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-rectale-ATCC-33656_Node_0:307097-308626(+)_V3_V4_384_710_includelonghmm	77	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-rectale-ATCC-33656_Node_0:763001-764530(+)_V3_V4_384_710_includelonghmm	77	5	327	0	100.00%	100%
16S_rRNA::Eubacterium-ventriosum-ATCC-27560_Node_20:70882-72413(-)_V3_V4_385_711_includelonghmm	78	1	327	1	100	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:2743269-2744778(-)_V3_V4_371_697_includelonghmm	79	6	327	1	100	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:3048324-3049833(-)_V3_V4_371_697_includelonghmm	79	6	327	0	100.00%	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:252233-253742(+)_V3_V4_371_697_includelonghmm	79	6	327	0	100.00%	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:608041-609550(+)_V3_V4_371_697_includelonghmm	79	6	327	0	100.00%	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:1923826-1925335(-)_V3_V4_371_697_includelonghmm	79	6	327	0	100.00%	100%
16S_rRNA::Faecalibacterium-prausnitzii-A2-165_Node_0:661293-662802(+)_V3_V4_371_697_includelonghmm	79	6	327	0	100.00%	100%
16S_rRNA::Ruminococcus-albus-strain-8_Node_101:0-1248(+)_V3_V4_108_434_includelonghmm	80	1	327	1	100	100%
16S_rRNA::Ruminococcus-flavefaciens-FD-1_Node_34:32633-34142(-)_V3_V4_369_695_includelonghmm	81	2	327	1	100	100%
16S_rRNA::Ruminococcus-flavefaciens-FD-1_Node_0:10900-12409(+)_V3_V4_369_695_includelonghmm	81	2	327	0	100.00%	100%
16S_rRNA::Ruminococcus-gnavus-ATCC-29149-MAF-NJ26_Node_0:446594-448122(+)_V3_V4_383_709_includelonghmm	82	5	327	1	100	100%
16S_rRNA::Ruminococcus-gnavus-ATCC-29149-MAF-NJ26_Node_0:16524-18052(+)_V3_V4_383_709_includelonghmm	82	5	327	0	100.00%	100%
16S_rRNA::Ruminococcus-gnavus-ATCC-29149-MAF-NJ26_Node_0:195019-196547(+)_V3_V4_383_709_includelonghmm	82	5	327	0	100.00%	100%
16S_rRNA::Ruminococcus-gnavus-ATCC-29149-MAF-NJ26_Node_0:691823-693351(+)_V3_V4_383_709_includelonghmm	82	5	327	0	100.00%	100%
16S_rRNA::Ruminococcus-gnavus-ATCC-29149-MAF-NJ26_Node_0:3140112-3141640(-)_V3_V4_383_709_includelonghmm	82	5	327	0	100.00%	100%
16S_rRNA::Ruminococcus-lactaris-ATCC-29176_Node_39:242308-243838(-)_V3_V4_385_711_includelonghmm	83	1	327	1	100	100%
16S_rRNA::Ruminococcus-obeum-ATCC-29174_Node_35:97036-98563(+)_V3_V4_382_708_includelonghmm	84	3	327	1	100	100%
16S_rRNA::Ruminococcus-obeum-ATCC-29174_Node_3:196-1723(+)_V3_V4_382_708_includelonghmm	84	3	327	0	100.00%	100%
16S_rRNA::Ruminococcus-obeum-ATCC-29174_Node_49:1282-2382(-)_V3_V4_47_373_includelonghmm	84	3	327	0	100.00%	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_36:80214-81742(-)_V3_V4_383_709_includelonghmm	85	6	327	1	100	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_27:249436-250965(-)_V3_V4_383_709_includelonghmm	85	6	327	0	100.00%	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_31:1771-3300(+)_V3_V4_383_709_includelonghmm	85	6	327	0	100.00%	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_5:9706-11235(-)_V3_V4_383_709_includelonghmm	85	6	327	0	100.00%	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_32:4626-5803(-)_V3_V4_383_709_includelonghmm	85	6	327	0	100.00%	100%
16S_rRNA::Ruminococcus-torques-ATCC-27756_Node_31:349-1405(+)_V3_V4_383_709_includelonghmm	85	6	327	0	100.00%	100%
16S_rRNA::Slackia-exigua-ATCC-700122_Node_1:571903-573406(-)_V3_V4_367_693_includelonghmm	86	2	327	1	100	100%
16S_rRNA::Slackia-exigua-ATCC-700122_Node_1:574014-575318(-)_V3_V4_366_692_includelonghmm	86	2	327	0	99.08%	100%
16S_rRNA::Anaerotruncus-colihominis-DSM-17241_Node_25:3680-5201(-)_V3_V4_383_708_includelonghmm	87	4	326	1	100	100%
16S_rRNA::Anaerotruncus-colihominis-DSM-17241_Node_3:3005-4526(-)_V3_V4_383_708_includelonghmm	87	4	326	0	100.00%	100%
16S_rRNA::Anaerotruncus-colihominis-DSM-17241_Node_22:73007-74528(-)_V3_V4_383_708_includelonghmm	87	4	326	0	100.00%	100%
16S_rRNA::Anaerotruncus-colihominis-DSM-17241_Node_23:1286-2309(-)_V3_V4_384_709_includelonghmm	87	4	326	0	100.00%	100%
16S_rRNA::Clostridium-bartlettii-DSM-16795_Node_1:84156-85657(+)_V3_V4_357_682_includelonghmm	88	5	326	1	100	100%
16S_rRNA::Clostridium-bartlettii-DSM-16795_Node_17:2039-3540(+)_V3_V4_357_682_includelonghmm	88	5	326	0	100.00%	100%
16S_rRNA::Clostridium-bartlettii-DSM-16795_Node_16:6174-7675(-)_V3_V4_357_682_includelonghmm	88	5	326	0	100.00%	100%
16S_rRNA::Clostridium-bartlettii-DSM-16795_Node_16:500-2001(+)_V3_V4_357_682_includelonghmm	88	5	326	0	99.69%	100%
16S_rRNA::Clostridium-bartlettii-DSM-16795_Node_16:2180-3349(+)_V3_V4_25_350_includelonghmm	88	5	326	0	100.00%	100%
